time,lon,lat,tmp,dtr,pre,vap,wet,cld,frs,pet
2020-01-16,113.75,-22.25,30.300001,14.8,0.0,19.4,0.0,35.0,0,9.400001
2020-01-16,114.25,-22.25,30.800001,14.5,0.0,19.800001,0.0,35.0,0,9.400001
2020-01-16,114.75,-22.25,30.9,13.6,0.30000000000000004,21.0,0.03,35.0,0,8.8
2020-01-16,115.25,-22.25,31.0,13.2,5.1,21.7,0.71999997,36.3,0,8.400001
2020-01-16,115.75,-22.25,31.2,13.2,18.800001,21.9,2.31,36.3,0,8.2
2020-01-16,116.25,-22.25,31.4,13.6,39.9,21.6,4.36,35.0,0,8.2
2020-01-16,116.75,-22.25,31.300001,14.0,61.5,21.0,6.42,33.8,0,8.0
2020-01-16,117.25,-22.25,31.1,14.3,68.9,20.6,8.8,35.0,0,7.8
2020-01-16,117.75,-22.25,32.100002,14.2,79.4,20.5,11.559999,36.3,0,7.8
2020-01-16,118.25,-22.25,32.4,14.1,85.1,20.5,13.5,38.8,0,7.6
2020-01-16,118.75,-22.25,32.8,14.1,70.4,20.9,13.57,40.100002,0,7.7000003
2020-01-16,119.25,-22.25,33.100002,14.1,58.4,21.1,13.37,41.8,0,7.8
2020-01-16,119.75,-22.25,32.5,14.5,56.8,20.9,13.07,43.600002,0,7.7000003
2020-01-16,120.25,-22.25,32.3,14.6,56.2,20.5,12.389999,45.7,0,7.6
2020-01-16,120.75,-22.25,32.4,14.1,51.600002,20.7,11.01,46.600002,0,7.7000003
2020-01-16,121.25,-22.25,32.3,13.7,48.4,20.6,9.719999,48.5,0,7.8
2020-01-16,121.75,-22.25,32.0,13.5,47.4,20.1,8.78,49.100002,0,7.9
2020-01-16,122.25,-22.25,32.2,13.0,42.0,20.2,8.09,50.8,0,7.9
2020-01-16,122.75,-22.25,32.3,12.7,40.9,20.0,8.07,52.2,0,7.9
2020-01-16,123.25,-22.25,32.100002,12.7,42.5,19.6,8.19,52.3,0,7.9
2020-01-16,123.75,-22.25,32.100002,12.8,43.100002,19.2,8.24,53.4,0,7.8
2020-01-16,124.25,-22.25,32.100002,12.900001,43.9,19.0,8.33,52.100002,0,7.9
2020-01-16,124.75,-22.25,32.100002,12.900001,44.4,18.5,8.47,51.8,0,7.9
2020-01-16,125.25,-22.25,32.0,13.0,45.3,18.0,8.559999,52.9,0,7.8
2020-01-16,125.75,-22.25,31.9,13.0,48.8,17.300001,8.79,52.600002,0,7.8
