time,lon,lat,tmp,dtr,pre,vap,wet,cld,frs,pet
2020-03-16,32.25,69.25,-3.0,7.2000003,52.100002,4.0,17.82,73.200005,27.76,0.5
2020-06-16,-45.75,-3.75,27.6,9.6,76.0,30.0,18.029999,65.5,0.0,3.1000001
2020-03-16,73.75,62.75,-6.0,8.5,27.7,3.3,15.339999,72.4,30.17,0.5
2020-01-16,117.25,-21.75,31.800001,13.400001,67.9,22.4,9.94,37.5,0.0,7.9
2020-10-16,122.25,13.25,26.5,7.3,318.7,28.800001,19.85,76.3,0.0,3.0
2020-07-16,-77.25,-11.25,15.0,9.7,0.6,13.5,2.33,80.0,0.0,2.1000001
2020-05-16,-47.25,-17.25,21.6,12.400001,23.9,17.800001,5.33,58.9,0.0,2.7
2020-07-16,97.75,26.75,26.300001,6.6,311.1,27.300001,20.66,86.6,0.0,3.1000001
2020-04-16,41.75,43.25,2.3,10.6,57.7,3.0,12.259999,61.7,23.369999,2.6000001
2020-05-16,-97.25,58.75,-0.7,9.900001,34.600002,4.0,8.29,63.100002,26.96,1.8000001
2020-08-16,116.25,52.75,14.400001,10.6,139.40001,13.0,18.73,80.1,0.19,2.2
2020-11-16,-40.75,-16.75,24.300001,8.5,177.8,22.6,22.22,85.4,0.0,3.5
2020-07-16,18.75,-13.75,15.900001,19.5,0.7,8.6,0.01,30.300001,3.22,3.2
2020-03-16,35.75,2.25,29.0,13.8,50.4,20.5,6.08,56.3,0.0,5.8
2020-02-15,-4.75,36.75,13.1,10.6,1.8000001,10.0,1.11,43.9,1.04,2.6000001
2020-11-16,114.75,1.25,24.0,11.8,388.9,23.6,24.38,71.3,0.0,3.2
2020-05-16,120.25,58.25,7.0,14.1,54.9,5.2000003,12.38,82.1,18.19,2.6000001
2020-04-16,42.75,57.75,3.1000001,9.2,49.2,4.7000003,12.84,63.9,21.07,1.8000001
2020-02-15,-100.75,53.25,-14.2,11.7,8.900001,1.5,5.08,54.5,29.0,0.4
2020-05-16,83.25,25.25,33.100002,15.3,13.0,19.5,0.97999996,33.9,0.0,6.9
2020-02-15,-23.25,76.25,-26.4,8.900001,6.7000003,0.6,4.19,48.100002,29.0,0.0
2020-02-15,-45.75,-6.75,25.800001,9.0,230.7,28.300001,28.099998,96.6,0.0,2.6000001
2020-08-16,57.25,81.25,0.0,4.7000003,43.4,5.3,14.9,92.9,23.449999,0.8
2020-12-16,130.25,47.25,-16.6,10.3,4.7000003,1.2,0.87,40.600002,31.0,0.2
2020-02-15,-68.25,-48.25,16.0,12.3,18.300001,8.8,4.47,43.5,0.0,5.5
2020-07-16,61.75,59.75,20.4,12.8,54.600002,14.3,8.099999,63.2,0.0,4.1
2020-10-16,134.25,43.25,8.900001,10.8,46.100002,7.6,7.66,38.9,8.79,2.2
2020-10-16,114.75,51.75,-1.0,11.400001,17.5,3.8,5.3199997,55.0,27.84,0.90000004
2020-02-15,-47.75,64.75,-24.300001,8.1,40.3,0.5,10.33,61.3,29.0,0.2
2020-04-16,107.75,48.75,2.8,16.9,4.7000003,2.6000001,1.89,48.0,26.09,3.1000001
2020-03-16,125.75,56.75,-13.0,11.7,19.5,1.6,13.23,62.4,31.0,0.5
2020-08-16,117.75,62.75,14.1,15.900001,8.5,10.2,1.3199999,45.8,3.22,3.0
2020-03-16,-76.25,6.75,21.800001,10.1,138.7,21.1,13.2,73.5,0.0,3.3
