hour,time,lat,lon,height,pre,PRS_Avg,VAP_Avg,tmp
12,2020/2/16,60.139,-1.183,82,172,979.9,7.0,4.2
12,2020/2/16,58.954,-2.9,26,190,988.1,7.2,4.5
12,2020/2/16,58.214,-6.318,15,176,989.9,7.4,4.7
12,2020/2/16,57.646,-3.5620000000000003,5,90,993.4,6.5,4.1
12,2020/2/16,57.205,-2.204,65,72,987.3,6.2,4.3
12,2020/2/16,56.5,-6.88,9,189,994.2,7.6,5.5
12,2020/2/16,55.312,-3.205,236,418,971.7,7.0,3.4
12,2020/2/16,56.377,-2.8609999999999998,10,122,995.8,7.1,4.5
12,2020/2/16,54.297,-1.5310000000000001,33,120,998.8,7.3,5.8
12,2020/2/16,53.252,-4.535,10,113,1003.8,8.2,7.1
12,2020/2/16,53.175,-0.523,68,99,997.5,7.6,6.7
12,2020/2/16,52.794,-2.6630000000000003,72,119,997.8,7.7,6.4
12,2020/2/16,52.139,-4.57,133,151,991.7,8.4,6.8
12,2020/2/16,52.123,0.9590000000000001,89,63,998.1,8.0,6.8
12,2020/2/16,51.503,-1.992,145,137,992.6,8.2,6.7
12,2020/2/16,51.479,-0.449,25,100,1007.5,8.4,8.0
12,2020/2/16,51.346,1.337,49,90,1004.9,8.4,7.7
12,2020/2/16,50.218,-5.327,87,176,1002.1,9.2,8.1
12,2020/2/16,50.779,-1.835,10,131,1010.8,8.9,7.8
12,2020/2/16,54.663,-6.224,63,154,993.1,7.6,5.2
12,2020/3/16,60.139,-1.183,82,113,997.4,7.2,5.0
12,2020/3/16,58.954,-2.9,26,49,1005.3,7.1,5.4
12,2020/3/16,58.214,-6.318,15,131,1007.0,7.6,5.4
12,2020/3/16,57.646,-3.5620000000000003,5,18,1009.7,6.7,5.8
12,2020/3/16,57.205,-2.204,65,19,1003.1,6.5,5.6
12,2020/3/16,56.5,-6.88,9,130,1009.5,7.9,6.3
12,2020/3/16,55.312,-3.205,236,150,984.9,6.9,4.4
12,2020/3/16,56.377,-2.8609999999999998,10,20,1010.9,7.3,5.9
12,2020/3/16,54.297,-1.5310000000000001,33,22,1010.8,7.2,6.3
12,2020/3/16,53.252,-4.535,10,31,1014.0,7.8,7.4
12,2020/3/16,53.175,-0.523,68,18,1007.5,7.1,6.7
12,2020/3/16,52.794,-2.6630000000000003,72,32,1007.2,7.3,6.3
12,2020/3/16,52.139,-4.57,133,50,999.9,7.9,7.1
12,2020/3/16,52.123,0.9590000000000001,89,26,1005.6,7.5,6.5
12,2020/3/16,51.503,-1.992,145,54,999.1,7.4,6.5
12,2020/3/16,51.479,-0.449,25,43,1013.7,7.6,8.0
12,2020/3/16,51.346,1.337,49,45,1010.7,7.8,7.3
12,2020/3/16,50.218,-5.327,87,76,1006.3,8.5,8.0
12,2020/3/16,50.779,-1.835,10,55,1015.7,8.1,7.6
12,2020/3/16,54.663,-6.224,63,44,1006.0,7.6,6.2
12,2020/4/17,60.139,-1.183,82,55,1006.5,7.9,6.2
12,2020/4/17,58.954,-2.9,26,27,1013.7,7.9,7.3
12,2020/4/17,58.214,-6.318,15,35,1014.7,8.5,7.4
12,2020/4/17,57.646,-3.5620000000000003,5,10,1016.6,7.6,8.3
12,2020/4/17,57.205,-2.204,65,16,1009.8,7.3,7.8
12,2020/4/17,56.5,-6.88,9,19,1015.4,8.8,8.3
12,2020/4/17,55.312,-3.205,236,21,989.5,7.7,7.7
12,2020/4/17,56.377,-2.8609999999999998,10,7,1016.8,8.1,7.7
12,2020/4/17,54.297,-1.5310000000000001,33,6,1014.3,8.1,9.7
12,2020/4/17,53.252,-4.535,10,13,1015.4,9.1,10.7
12,2020/4/17,53.175,-0.523,68,13,1009.7,8.2,10.7
12,2020/4/17,52.794,-2.6630000000000003,72,24,1008.7,8.5,10.1
12,2020/4/17,52.139,-4.57,133,24,1000.4,9.3,10.8
12,2020/4/17,52.123,0.9590000000000001,89,22,1006.9,8.6,10.4
12,2020/4/17,51.503,-1.992,145,67,999.5,8.7,10.9
12,2020/4/17,51.479,-0.449,25,38,1014.2,8.6,12.3
12,2020/4/17,51.346,1.337,49,33,1011.4,9.1,10.4
12,2020/4/17,50.218,-5.327,87,40,1005.3,9.9,11.1
12,2020/4/17,50.779,-1.835,10,52,1015.4,9.2,11.1
12,2020/4/17,54.663,-6.224,63,15,1009.4,8.6,9.6
12,2020/5/15,60.139,-1.183,82,52,1007.8,9.0,7.8
12,2020/5/15,58.954,-2.9,26,70,1015.3,9.1,9.2
12,2020/5/15,58.214,-6.318,15,83,1017.1,10.2,10.2
12,2020/5/15,57.646,-3.5620000000000003,5,26,1018.6,9.4,11.4
